,0,1,2,3,4,5,6,7,8
might,0,0.060008387,0.141907179,0,0,0,0.057727679,0,0.33249862
mini,0,0,0,0,0,0,0.065335735,0.227963814,0.188159668
minority,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
mitch,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
moderna,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
news,0,0,0,0.078870251,0,0,0.065335735,0.056990954,0
next,0.099112342,0.237709582,0.053536478,0,0,0,0,0,0
number,0,0.030004194,0,0.03484308,0.031397362,0.027813097,0,0,0
officials,0.08757115,0.180025162,0.047302393,0,0.031397362,0,0,0,0
older,0,0,0,0.157740502,0.035535289,0.062957292,0,0,0
ongoing,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
options,0.066074895,0.101875535,0.053536478,0,0,0,0,0,0
overall,0,0,0,0.078870251,0.071070578,0.031478646,0,0,0
package,0.198224685,0.101875535,0,0,0,0.031478646,0,0,0
pandemic,0.029190383,0.030004194,0.047302393,0,0,0.027813097,0,0,0
participants,0,0,0,0.157740502,0.071070578,0.125914584,0,0,0
pfizer,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
phase,0,0.033958512,0,0.078870251,0,0.031478646,0,0,0
piece,0.033037447,0.033958512,0,0,0,0,0,0.056990954,0
pledge,0,0.033958512,0.053536478,0,0,0.031478646,0,0,0
policies,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
potential,0.029190383,0.090012581,0.094604786,0,0,0,0,0,0.16624931
premature,0.033037447,0.033958512,0.107072956,0,0,0,0,0,0
prepare,0.029190383,0,0.047302393,0,0.031397362,0.027813097,0,0,0
president,0.145951917,0.120016775,0.047302393,0.03484308,0,0,0,0,0
press,0.029190383,0.030004194,0,0.03484308,0.031397362,0,0,0,0
prevent,0,0,0,0.039435125,0.035535289,0.062957292,0,0,0
previous,0,0,0,0.078870251,0.035535289,0.031478646,0,0,0
priorities,0.099112342,0.033958512,0.107072956,0,0,0,0,0,0
proposal,0.066074895,0.271668094,0.053536478,0,0,0,0,0,0
proposals,0.066074895,0.135834047,0.107072956,0,0,0,0,0,0
psaki,0.066074895,0.101875535,0.107072956,0,0,0,0,0,0
public,0,0.033958512,0,0.039435125,0.035535289,0,0,0,0
push,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
question,0,0,0.047302393,0,0.031397362,0.11125239,0.057727679,0,0
raise,0.033037447,0,0.107072956,0,0.035535289,0,0,0,0
range,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
real,0.033037447,0,0,0.039435125,0.035535289,0,0,0,0
reflection,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
reform,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
relate,0.058380767,0.060008387,0,0,0,0.027813097,0.173183036,0,0
republicans,0.13214979,0.033958512,0.214145913,0,0,0,0,0,0
research,0.029190383,0.030004194,0,0,0.062794724,0.027813097,0,0,0
result,0,0,0,0.118305376,0.142141156,0.062957292,0,0,0
review,0,0.033958512,0,0.039435125,0.035535289,0,0,0,0
reward,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
risk,0,0,0,0.118305376,0.071070578,0.031478646,0,0,0
roads,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
safety,0.029190383,0,0,0.03484308,0.094192087,0.11125239,0,0,0
school,0.066074895,0,0,0.078870251,0.035535289,0,0,0,0
second,0.066074895,0.033958512,0,0,0.071070578,0,0,0,0
see,0,0.030004194,0.047302393,0,0,0.055626195,0.057727679,0,0
senate,0.099112342,0.101875535,0.107072956,0,0,0,0,0,0
severe,0,0,0,0.118305376,0.035535289,0.062957292,0,0,0
show,0,0,0,0.118305376,0.035535289,0.062957292,0,0,0
since,0.033037447,0,0,0,0,0.031478646,0.065335735,0,0
size,0,0.033958512,0.053536478,0,0,0,0,0,0.188159668
south,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
speaker,0,0.030004194,0,0,0,0,0.057727679,0.10070922,0.16624931
speakers,0,0,0,0,0,0,0.065335735,0.113981907,0.188159668
speculation,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
spend,0.231262132,0.169792558,0.267682391,0,0,0,0,0,0
statement,0.029190383,0.030004194,0.094604786,0.03484308,0,0,0,0,0
step,0.033037447,0.033958512,0,0,0.035535289,0,0,0,0
still,0.058380767,0.030004194,0,0,0,0.027813097,0,0.05035461,0
strategy,0,0,0,0,0,0.031478646,0,0.056990954,0.188159668
strong,0,0,0,0.039435125,0.035535289,0,0,0.056990954,0
suggest,0,0,0,0,0.062794724,0.055626195,0.115455358,0.05035461,0
symptomatic,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
system,0.033037447,0,0,0,0.035535289,0,0,0.113981907,0
tax,0.330374474,0.169792558,0.214145913,0,0,0,0,0,0
team,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
think,0.029190383,0.060008387,0.094604786,0,0.031397362,0,0,0,0
time,0,0.033958512,0.107072956,0,0,0,0,0.170972861,0
top,0.029190383,0.120016775,0.047302393,0,0.031397362,0,0,0,0
trillion,0.13214979,0.101875535,0.267682391,0,0,0,0,0,0
trojan,0.029190383,0.030004194,0.047302393,0,0.031397362,0,0,0,0
unclear,0.066074895,0,0,0,0.035535289,0,0,0.056990954,0
universal,0.066074895,0.033958512,0.053536478,0,0,0,0,0,0
university,0,0,0,0.118305376,0.035535289,0.031478646,0,0,0
vaccine,0,0,0,0.670397133,0.675170489,0.535136984,0,0,0
vaccines,0,0,0,0.118305376,0.142141156,0.031478646,0,0,0
wealth,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
weeks,0.029190383,0.090012581,0,0,0.031397362,0.166878585,0,0,0
white,0.145951917,0.180025162,0.141907179,0.03484308,0,0,0,0,0
wing,0.033037447,0.067917023,0.053536478,0,0,0,0,0,0
world,0,0,0,0.078870251,0.142141156,0.031478646,0,0,0
year,0.033037447,0,0.053536478,0,0,0,0,0.056990954,0
years,0.058380767,0,0.047302393,0.06968616,0,0.083439292,0,0,0
